Series,Season,Episode,Title,IMDb Rating
Star Trek: Discovery,1,9,Into the Forest I Go,7.8
Star Trek: Discovery,1,10,Despite Yourself,7.7
Star Trek: Discovery,1,11,The Wolf Inside,7.6
Star Trek: Discovery,1,12,Vaulting Ambition,7.9
Star Trek: Discovery,1,13,What's Past Is Prologue,7.9
Star Trek: Discovery,1,14,"The War Without, the War Within",7.3
Star Trek: Discovery,1,15,Will You Take My Hand?,N/A
Star Trek: Discovery,1,1,The Vulcan Hello,N/A
Star Trek: Discovery,1,2,Battle at the Binary Stars,7.4
Star Trek: Discovery,1,3,Context Is for Kings,7.6
Star Trek: Discovery,1,4,The Butcher's Knife Cares Not for the Lamb's Cry,7.0
Star Trek: Discovery,1,5,Choose Your Pain,N/A
Star Trek: Discovery,1,6,Lethe,7.2
Star Trek: Discovery,1,7,Magic to Make the Sanest Man Go Mad,7.4
Star Trek: Discovery,1,8,"Si Vis Pacem, Para Bellum",6.7
Star Trek: Discovery,1,9,Into the Forest I Go,7.8
Star Trek: Discovery,1,10,Despite Yourself,7.7
Star Trek: Discovery,1,11,The Wolf Inside,7.6
Star Trek: Discovery,1,12,Vaulting Ambition,7.9
Star Trek: Discovery,1,13,What's Past Is Prologue,7.9
Star Trek: Discovery,1,14,"The War Without, the War Within",7.3
Star Trek: Discovery,1,15,Will You Take My Hand?,N/A
Star Trek: Discovery,1,1,The Vulcan Hello,N/A
Star Trek: Discovery,1,2,Battle at the Binary Stars,7.4
Star Trek: Discovery,1,3,Context Is for Kings,7.6
Star Trek: Discovery,1,4,The Butcher's Knife Cares Not for the Lamb's Cry,7.0
Star Trek: Discovery,1,5,Choose Your Pain,N/A
Star Trek: Discovery,1,6,Lethe,7.2
Star Trek: Discovery,1,7,Magic to Make the Sanest Man Go Mad,7.4
Star Trek: Discovery,1,8,"Si Vis Pacem, Para Bellum",6.7
Star Trek: Discovery,1,9,Into the Forest I Go,7.8
Star Trek: Discovery,1,10,Despite Yourself,7.7
Star Trek: Discovery,1,11,The Wolf Inside,7.6
Star Trek: Discovery,1,12,Vaulting Ambition,7.9
Star Trek: Discovery,1,13,What's Past Is Prologue,7.9
Star Trek: Discovery,1,14,"The War Without, the War Within",7.3
Star Trek: Discovery,1,15,Will You Take My Hand?,N/A
Star Trek: Discovery,1,1,The Vulcan Hello,N/A
Star Trek: Discovery,1,2,Battle at the Binary Stars,7.4
Star Trek: Discovery,1,3,Context Is for Kings,7.6
Star Trek: Discovery,1,4,The Butcher's Knife Cares Not for the Lamb's Cry,7.0
Star Trek: Discovery,1,5,Choose Your Pain,N/A
Star Trek: Discovery,1,6,Lethe,7.2
Star Trek: Discovery,1,7,Magic to Make the Sanest Man Go Mad,7.4
Star Trek: Discovery,1,8,"Si Vis Pacem, Para Bellum",6.7
Star Trek: Discovery,1,9,Into the Forest I Go,7.8
Star Trek: Discovery,1,10,Despite Yourself,7.7
Star Trek: Discovery,1,11,The Wolf Inside,7.6
Star Trek: Discovery,1,12,Vaulting Ambition,7.9
Star Trek: Discovery,1,13,What's Past Is Prologue,7.9
Star Trek: Discovery,1,14,"The War Without, the War Within",7.3
Star Trek: Discovery,1,15,Will You Take My Hand?,N/A
Star Trek: Picard,1,1,Remembrance,8.3
Star Trek: Picard,1,2,Maps and Legends,7.4
Star Trek: Picard,1,3,The End Is the Beginning,7.4
Star Trek: Picard,1,4,Absolute Candor,7.2
Star Trek: Picard,1,5,Stardust City Rag,6.9
Star Trek: Picard,1,6,The Impossible Box,7.8
Star Trek: Picard,1,7,Nepenthe,8.3
Star Trek: Picard,1,8,Broken Pieces,7.8
Star Trek: Picard,1,9,"Et in Arcadia Ego, Part 1",7.2
Star Trek: Picard,1,10,"Et in Arcadia Ego, Part 2",N/A
Star Trek: Picard,1,1,Remembrance,8.3
Star Trek: Picard,1,2,Maps and Legends,7.4
Star Trek: Picard,1,3,The End Is the Beginning,7.4
Star Trek: Picard,1,4,Absolute Candor,7.2
Star Trek: Picard,1,5,Stardust City Rag,6.9
Star Trek: Picard,1,6,The Impossible Box,7.8
Star Trek: Picard,1,7,Nepenthe,8.3
Star Trek: Picard,1,8,Broken Pieces,7.8
Star Trek: Picard,1,9,"Et in Arcadia Ego, Part 1",7.2
Star Trek: Picard,1,10,"Et in Arcadia Ego, Part 2",N/A
Star Trek: Picard,1,1,Remembrance,8.3
Star Trek: Picard,1,2,Maps and Legends,7.4
Star Trek: Picard,1,3,The End Is the Beginning,7.4
Star Trek: Picard,1,4,Absolute Candor,7.2
Star Trek: Picard,1,5,Stardust City Rag,6.9
Star Trek: Picard,1,6,The Impossible Box,7.8
Star Trek: Picard,1,7,Nepenthe,8.3
Star Trek: Picard,1,8,Broken Pieces,7.8
Star Trek: Picard,1,9,"Et in Arcadia Ego, Part 1",7.2
Star Trek: Picard,1,10,"Et in Arcadia Ego, Part 2",N/A
Star Trek: Prodigy,1,1,Lost & Found: Part 1,7.6
Star Trek: Prodigy,1,2,Lost & Found: Part 2,7.7
Star Trek: Prodigy,1,3,Starstruck,7.4
Star Trek: Prodigy,1,4,Dream Catcher,7.7
Star Trek: Prodigy,1,5,Terror Firma,7.9
Star Trek: Prodigy,1,6,Kobayashi,N/A
Star Trek: Prodigy,1,7,Episode #1.7,N/A
Star Trek: Prodigy,1,8,Episode #1.8,N/A
Star Trek: Prodigy,1,9,Episode #1.9,N/A
Star Trek: Prodigy,1,10,Episode #1.10,N/A
